#sample-id	Plate_position	Sample_type	Plant_species	DNA_concentration_nanodrop	MeJA_treatment	Baseclear_order	Block	position	id_before	RNA_extract_ID_questionable	MYC2_at_fold_DD	lox2_at_fold_DD	bbch	bbch1	bbch2	width	length	leaf_area	number_fruits	leaf_dry_weight	inflorescence	ratio_inflorescence	ratio_leaf	ratio_good	Baseclear_DNA_concentration_ngul
11_Root	E11	Root	Arabidopsis_thaliana	14.11	MeJA_1.0	59	2	3	8										3	0.046	0.051	0.408	0.782312925	0.408	11.7
12_Root	E12	Root	Brassica_oleraceae	91.48	MeJA_0.1	60	2	4	8	BO8	1.264295179	1.122462048	15_16	15	5.5	4.69	5.16	87.4		0.492			1.144186047	1.144186047	76.11
13_Root	F01	Root	Brassica_oleraceae	218.07	MeJA_1.0	61	2	5	5	BO14	1.903076206	6.175973947	14_15	14	4.5	4.26	5.64	59.44		0.311			0.723255814	0.723255814	206
14_Root	F02	Root	Arabidopsis_thaliana	29.76	MeJA_0.1	62	2	6	6										36	0.068	0.107	0.856	1.156462585	0.856	24.87
15_Root	F03	Root	Arabidopsis_thaliana	11.96	control	63	2	7	7	AT2	2.5375388	2.188587403							28	0.037	0.069	1	1	1	7.45
16_Root	F04	Root	Brassica_oleraceae	203	oral_secretion	64	2	8	7	BO20	1.336382813	1.334839854	14	14	4	3.87	5.1	64.42		0.345			0.802325581	0.802325581	174
17_Root	F05	Root	Arabidopsis_thaliana	26.6	MeJA_0.1	65	3	1	9	AT9	7.307176341	8.5741877							7	0.049	0.076	0.608	0.833333333	0.608	22.5
18_Root	F06	Root	Brassica_oleraceae	368.5	MeJA_0.1	66	3	2	10	BO9	1.264295179	2.009263349	16	16	6	4.37	5.51	89.74		0.552			1.28372093	1.28372093	352
19_Root	F07	Root	Arabidopsis_thaliana	26.76	oral_secretion	67	3	3	11	AT21	4.498094665	1.624504793							16	0.069	0.1	0.8	1.173469388	0.8	22.5
20_Root	F08	Root	Arabidopsis_thaliana	12.64	MeJA_1.0	68	3	4	12	AT15	10.12123913	6.498019171							9	0.031	0.044	0.352	0.527210884	0.352	9.34
21_Root	F09	Root	Arabidopsis_thaliana	9.17	control	69	3	5	10	AT3	1.752378019	1.414213562							18	0.02	0.048	1	1	1	7.46
22_Root	F10	Root	Brassica_oleraceae	246.59	MeJA_1.0	70	3	6	9	BO15	0.772889104	3.621699045	14_15	14	4.5	3.99	5.12	75.85		0.438			1.018604651	1.018604651	141
23_Root	F11	Root	Brassica_oleraceae	93.8	control	71	3	7	11	BO3	5.022248217	3.066656689	15_16	15	5.5	4.1	5.3	87.94		0.537			1	1	76.9
24_Root	F12	Root	Brassica_oleraceae	144.2	oral_secretion	72	3	8	12	BO21	0.554144194	1.533328345	15_16	15	5.5	3.64	4.74	69.68		0.344			0.8	0.8	236
25_Root	G01	Root	Brassica_oleraceae	129.19	MeJA_1.0	73	4	1	13	BO16	0.334095703	1.186462635	13_14	13	3.5	3.68	4.54	42.87		0.255			0.593023256	0.593023256	114
26_Root	G02	Root	Brassica_oleraceae	211.06	MeJA_0.1	74	4	2	14	BO10	1.048504704	2.183536529	16	16	6	4.67	5.66	79.17		0.487			1.13255814	1.13255814	188
27_Root	G03	Root	Arabidopsis_thaliana	26.68	MeJA_1.0	75	4	3	15	AT16	8.452124531	4.407620464							10	0.095	0.09	0.72	1.615646259	0.72	21.89
28_Root	G04	Root	Arabidopsis_thaliana	27.57	control	76	4	4	16	AT4	0.365847429	0.329876978							63	0.096	0.217	1	1	1	22.31
29_Root	G05	Root	Arabidopsis_thaliana	45	MeJA_0.1	77	4	5	13	AT10	1.282815796	1.547564994							78	0.057	0.198	1.584	0.969387755	1.584	37.73
31_Root	G06	Root	Brassica_oleraceae	166.4	control	78	4	7	15	BO4	0.640972041	1.420763739	16_17	16	6.5			63.81		0.321			1	1	134
32_Root	G07	Root	Brassica_oleraceae	95.28	oral_secretion	79	4	8	16	BO22	1.903076206	3.775497251	16	16	6	4.26	5.47	84.17		0.552			1.28372093	1.28372093	78.41
33_Root	G08	Root	Arabidopsis_thaliana	32.12	control	80	5	1	18	AT5	1.579331501	1.164733586							49	0.093	0.169	1	1	1	26.6
34_Root	G09	Root	Brassica_oleraceae	129.32	oral_secretion	81	5	2	18	BO23	0.772889104	2.614738494	16	16	6	5.23	6.24	86.45		0.521			1.211627907	1.211627907	122
35_Root	G10	Root	Brassica_oleraceae	98.89	control	82	5	3	19	BO5	0.360565517	0.290511397	15_16	15	5.5	4.24	4.96	74.48		0.489			1	1	75.37
36_Root	G11	Root	Brassica_oleraceae	360.9	MeJA_0.1	83	5	4	20				15_16	15	5.5	3.88	5.66	72.28		0.476			1.106976744	1.106976744	356
37_Root	G12	Root	Arabidopsis_thaliana	29.56	MeJA_0.1	84	5	5	17	AT11	13.08021205	3.837056477							59	0.065	0.175	1.4	1.105442177	1.4	25.8
39_Root	H01	Root	Arabidopsis_thaliana	21.61	MeJA_1.0	85	5	7	19										17	0.059	0.09	0.72	1.003401361	0.72	17.75
40_Root	H02	Root	Brassica_oleraceae	75.49	MeJA_1.0	86	5	8	17	BO17	2.408831256	7.193364285	15	15	5	4.15	5.36	63.31		0.378			0.879069767	0.879069767	58.87
41_Root	H03	Root	Arabidopsis_thaliana	7.97	MeJA_1.0	87	6	1	23	AT18	7.670464915	5.098242509							15	0.076	0.125	1	1.292517007	1	5.78
42_Root	H04	Root	Brassica_oleraceae	103.12	control	88	6	2	21	BO6	0.557998571	0.593231317	15_16	15	5.5	4.3	5.54	90.96		0.551			1	1	93.03
43_Root	H05	Root	Arabidopsis_thaliana	24.77	oral_secretion	89	6	3	24	AT24	1.494138643	3.97E-05							49	0.044	0.139	1.112	0.74829932	1.112	20.09
44_Root	H06	Root	Brassica_oleraceae	5.03	MeJA_0.1	90	6	4	24				15_16	15	5.5	4.82	5.33	69.49		0.458			1.065116279	1.065116279	0.59
45_Root	H07	Root	Arabidopsis_thaliana	15	control	91	6	5	21	AT6	0.244738678	0.411795509							58	0.059	0.177	1	1	1	11.63
46_Root	H08	Root	Brassica_oleraceae	111.47	MeJA_1.0	92	6	6	22				13_14	13	3.5	3.7	4.66	56.58		0.33			0.76744186	0.76744186	89.02
47_Root	H09	Root	Brassica_oleraceae	239.6	oral_secretion	93	6	7	23	BO24	0.502896471	1.194715135	15_16	15	5.5	3.98	4.69	74.05		0.41			0.953488372	0.953488372	234
48_Root	H10	Root	Arabidopsis_thaliana	43.55	MeJA_0.1	94	6	8	22	AT12	0.120684644	0.146604369							39	0.071	0.136	1.088	1.207482993	1.088	40.08
